iter	Passed	Remaining
0	110	10913
1	236	11575
2	347	11238
3	469	11264
4	573	10895
5	674	10572
6	753	10005
7	857	9865
8	959	9701
9	1059	9531
10	1154	9339
11	1259	9238
12	1350	9040
13	1474	9055
14	1583	8974
15	1680	8824
16	1782	8701
17	1887	8598
18	1988	8477
19	2085	8341
20	2177	8191
21	2271	8054
22	2369	7933
23	2476	7840
24	2559	7677
25	2643	7524
26	2738	7403
27	2848	7323
28	2987	7315
29	3097	7228
30	3233	7197
31	3328	7072
32	3416	6937
33	3504	6802
34	3599	6685
35	3708	6593
36	3937	6703
37	4078	6654
38	4227	6612
39	4387	6581
40	4568	6574
41	4751	6560
42	4994	6621
43	5234	6661
44	5478	6695
45	5630	6609
46	5760	6496
47	5901	6393
48	6008	6253
49	6135	6135
50	6274	6028
51	6381	5890
52	6491	5756
53	6596	5619
54	6698	5480
55	6827	5364
56	6938	5234
57	7076	5124
58	7179	4989
59	7278	4852
60	7384	4721
61	7516	4606
62	7631	4482
63	7724	4345
64	7843	4223
65	7952	4096
66	8083	3981
67	8180	3849
68	8280	3720
69	8381	3592
70	8482	3464
71	8589	3340
72	8697	3216
73	8871	3116
74	9129	3043
75	9308	2939
76	9412	2811
77	9538	2690
78	9928	2639
79	10139	2534
80	10296	2415
81	10431	2289
82	10561	2163
83	10700	2038
84	10861	1916
85	11002	1791
86	11126	1662
87	11226	1530
88	11436	1413
89	11573	1285
90	11736	1160
91	12035	1046
92	12218	919
93	12320	786
94	12419	653
95	12521	521
96	12630	390
97	12742	260
98	12859	129
99	12974	0
