iter	Accuracy	Logloss
0	0.840069589	0.6176220116
1	0.8457547609	0.5636675293
2	0.8473702196	0.5233831749
3	0.8462984249	0.4898488046
4	0.8462673584	0.4655646716
5	0.8462052254	0.4462598926
6	0.8465158905	0.4304797584
7	0.8466556898	0.4184351387
8	0.8499176737	0.4050088679
9	0.8530398583	0.3898455396
10	0.8555251794	0.3784602043
11	0.8578707012	0.3629478743
12	0.8605890211	0.3520876402
13	0.8630122091	0.3442799019
14	0.8674391873	0.3372373633
15	0.8689769797	0.332471857
16	0.8731554258	0.3243412523
17	0.8761378111	0.3173834654
18	0.8766038088	0.3136923498
19	0.8773960048	0.3103416639
20	0.8839199727	0.2990283517
21	0.8895896114	0.2884902778
22	0.8903973407	0.2864290426
23	0.8916555345	0.2829419004
24	0.8921370655	0.2809295723
25	0.8949175184	0.2737327382
26	0.895678648	0.2714848882
27	0.8960514461	0.2679842627
28	0.9020628165	0.2579426699
29	0.9062567958	0.2516977214
30	0.9082916524	0.247923085
31	0.9086799838	0.2453940551
32	0.9090372487	0.2444648592
33	0.9097517786	0.2426254836
34	0.9114759701	0.2396383933
35	0.9135574265	0.23461806
36	0.913774892	0.2334842759
37	0.9155767498	0.2300561053
38	0.9164776787	0.2284453745
39	0.9171922085	0.2267535245
40	0.9196775296	0.222672689
41	0.9224735158	0.2175586309
42	0.9234365777	0.2132366202
43	0.9237317096	0.212756594
44	0.9264344963	0.2093562413
45	0.9270092268	0.2081456924
46	0.9279256889	0.2066328341
47	0.9285004194	0.2054742346
48	0.9296809469	0.2032746607
49	0.9299760788	0.2018313452
50	0.9306284756	0.200462529
51	0.9311876728	0.198975074
52	0.9319954022	0.195944045
53	0.9321352015	0.1948869893
54	0.9326943987	0.193487434
55	0.9330361304	0.192809282
56	0.9335797943	0.1918930246
57	0.934045792	0.1912781212
58	0.9343409239	0.1906608923
59	0.9349156544	0.1897417675
60	0.9353661189	0.1878961323
61	0.9359874491	0.1867143223
62	0.9365777129	0.1858718946
63	0.9367951785	0.184867487
64	0.9370126441	0.1844260394
65	0.9373388425	0.1838631631
66	0.9374631085	0.1834840502
67	0.9377893069	0.1826652124
68	0.9388300351	0.1813413587
69	0.939125167	0.1802306671
70	0.9395756314	0.1793649675
71	0.939793097	0.1787341149
72	0.9399484296	0.1780847993
73	0.9399173631	0.1776014741
74	0.9400726956	0.1773499673
75	0.9402435615	0.1767765388
76	0.9406318929	0.1757833993
77	0.9415949548	0.1740695753
78	0.9422318183	0.1731716738
79	0.9424026841	0.1727209601
80	0.9426512163	0.1721891668
81	0.9429774146	0.1716000206
82	0.9432104135	0.1711724834
83	0.9433812793	0.1708060706
84	0.9436608779	0.1704163649
85	0.9440647426	0.1697969077
86	0.944390941	0.1689501927
87	0.9447016061	0.168333468
88	0.9454316692	0.1658073874
89	0.9457112678	0.164823624
90	0.9459132002	0.1644304371
91	0.9458976669	0.1640287628
92	0.9459753332	0.1637340317
93	0.9460995992	0.1633303608
94	0.9464723974	0.1627390354
95	0.9465966635	0.1622840718
96	0.9468141291	0.1612708229
97	0.9469694616	0.1609052832
98	0.9471247942	0.1605650638
99	0.9470937277	0.1598354187
