iter	Logloss
0	0.6418291088
1	0.5937285689
2	0.5508297155
3	0.5126308548
4	0.4770485157
5	0.4469969005
6	0.4202474079
7	0.3965401981
8	0.3754271381
9	0.3566230823
10	0.3399608154
11	0.3238517046
12	0.3106945818
13	0.2988953892
14	0.288250482
15	0.2776200053
16	0.2693074658
17	0.2616190632
18	0.2544730496
19	0.2472988326
20	0.2414941751
21	0.2363238216
22	0.2316748598
23	0.2266049974
24	0.2224668709
25	0.2190465882
26	0.2150866545
27	0.2122278107
28	0.2091387083
29	0.2060566582
30	0.2036575351
31	0.2007072139
32	0.1987856198
33	0.1970176072
34	0.1952272792
35	0.1932368737
36	0.1918799293
37	0.1901374379
38	0.1886550491
39	0.187345695
40	0.1862611311
41	0.1846914341
42	0.1835867758
43	0.1826522169
44	0.181613626
45	0.1806109807
46	0.1796607172
47	0.1785422452
48	0.1777347835
49	0.176798489
50	0.1760324143
51	0.175360824
52	0.1745149164
53	0.1738348623
54	0.1733664211
55	0.1727777623
56	0.1720651426
57	0.1714981639
58	0.1709832164
59	0.1704689484
60	0.1698203529
61	0.1692038686
62	0.1686900125
63	0.1681218575
64	0.1674616805
65	0.1670768504
66	0.1667115633
67	0.1662431883
68	0.1658566131
69	0.1653504418
70	0.1648891768
71	0.1644741073
72	0.1639854594
73	0.1635879826
74	0.1632768155
75	0.1629034172
76	0.1625431857
77	0.1621976145
78	0.1617506261
79	0.1614352327
80	0.1608065551
81	0.1605895278
82	0.1603457707
83	0.1599272077
84	0.1597050045
85	0.159526306
86	0.1588867414
87	0.158602198
88	0.1580977392
89	0.1577473746
90	0.1574967245
91	0.1571991552
92	0.1568428524
93	0.1566680263
94	0.1561507258
95	0.1559697388
96	0.1557225322
97	0.1554958078
98	0.1552968319
99	0.155127241
100	0.1547962292
101	0.1546122025
102	0.1542767437
103	0.15396831
104	0.1537740817
105	0.1534494128
106	0.1530276516
107	0.1528754863
108	0.1527537474
109	0.1525543056
110	0.1523609021
111	0.1522569623
112	0.1517844408
113	0.1515615515
114	0.1514112082
115	0.1512566025
116	0.1508203748
117	0.1505780991
118	0.1504502833
119	0.1502598568
120	0.1501265865
121	0.1497018629
122	0.1494604272
123	0.1493271252
124	0.1492015716
125	0.1489886878
126	0.148602332
127	0.1484675876
128	0.1483695841
129	0.1479737449
130	0.1478578427
131	0.1477190614
132	0.1475959634
133	0.1473614506
134	0.147197548
135	0.1470532872
136	0.1469442704
137	0.1468043858
138	0.1466397979
139	0.1465706804
140	0.1464559994
141	0.1463284469
142	0.1462102995
143	0.1461254196
144	0.1459801008
145	0.145876577
146	0.1457852221
147	0.1457165862
148	0.1454472828
149	0.145361943
150	0.1452637343
151	0.145177865
152	0.145125048
153	0.1448611295
154	0.1447743291
155	0.1446779863
156	0.1446105582
157	0.1444494001
158	0.1443846605
159	0.1443317126
160	0.144233106
161	0.144105884
162	0.1440310411
163	0.1439388395
164	0.1438442276
165	0.1436778782
166	0.1436092823
167	0.1433751509
168	0.1432366473
169	0.1431541328
170	0.1430949697
171	0.1429900492
172	0.1429502384
173	0.1428562725
174	0.1428198712
175	0.1427252904
176	0.1426005254
177	0.1425005159
178	0.142400613
179	0.1423115346
180	0.1422461891
181	0.142066261
182	0.1417822472
183	0.1417190505
184	0.1416239216
185	0.1415559643
186	0.1413751832
187	0.1413129015
188	0.1412424351
189	0.1411588466
190	0.1410522919
191	0.1409718627
192	0.1409123993
193	0.1408256584
194	0.1407279146
195	0.1406448064
196	0.1405725444
197	0.1403399921
198	0.1402352149
199	0.1401686478
200	0.1399890414
201	0.1399030501
202	0.1398605462
203	0.1397765757
204	0.1394967908
205	0.139254027
206	0.1391234707
207	0.1390739184
208	0.1390158004
209	0.1389454375
210	0.1388391124
211	0.1387881951
212	0.138676838
213	0.1385924914
214	0.1385145452
215	0.1384205179
216	0.1383838172
217	0.1382759746
218	0.1382159283
219	0.1381232681
220	0.138069889
221	0.1379898299
222	0.1379192316
223	0.1378777104
224	0.1378509214
225	0.1377857285
226	0.1377552969
227	0.1376617818
228	0.1375218816
229	0.1374488968
230	0.1373822427
231	0.137340984
232	0.1372523902
233	0.1372142691
234	0.1371191886
235	0.1370399827
236	0.1369793583
237	0.1369030637
238	0.1368149939
239	0.1367523702
240	0.1367034846
241	0.1366441108
242	0.1365532848
243	0.1364865099
244	0.1364389369
245	0.1364061692
246	0.1363552988
247	0.1363108003
248	0.1361701506
249	0.1360755435
250	0.1360380239
251	0.1359760265
252	0.1359363575
253	0.1357738008
254	0.1356327245
255	0.1355672379
256	0.1354833433
257	0.1352585907
258	0.1351988187
259	0.1351413722
260	0.1349731598
261	0.1348628348
262	0.1348062159
263	0.134632422
264	0.134562165
265	0.1344693834
266	0.1344169406
267	0.1343530533
268	0.134236877
269	0.1341938694
270	0.1341645323
271	0.134143558
272	0.1341085455
273	0.1340778762
274	0.1340101809
275	0.133934801
276	0.1338438254
277	0.133784104
278	0.1337547788
279	0.1337204044
280	0.1336328065
281	0.1335876386
282	0.1334615004
283	0.1334445688
284	0.1333265019
285	0.1333039319
286	0.1332205935
287	0.133186717
288	0.1331110713
289	0.1330359206
290	0.1329748196
291	0.1329524798
292	0.1328915443
293	0.132871452
294	0.1327811736
295	0.1327466984
296	0.1326925212
297	0.1326527759
298	0.1326181067
299	0.1325507023
300	0.132522774
301	0.1324626378
302	0.1323739444
303	0.1322972329
304	0.1321731571
305	0.1321527523
306	0.1321420874
307	0.1321039933
308	0.1320306133
309	0.1319917335
310	0.1318885257
311	0.1318088261
312	0.131690843
313	0.1316560178
314	0.1315800938
315	0.1315093961
316	0.1314444702
317	0.1313504109
318	0.1313004129
319	0.1310895826
320	0.1310314693
321	0.1309671384
322	0.1309347026
323	0.130884059
324	0.1308088734
325	0.1307789241
326	0.1307507397
327	0.130661835
328	0.1306057529
329	0.1305323748
330	0.1304282662
331	0.1304071978
332	0.1302654713
333	0.1302242253
334	0.1301711778
335	0.1301208975
336	0.1301001928
337	0.1300361045
338	0.1299983161
339	0.1297955166
340	0.1297605516
341	0.1297292779
342	0.1296918238
343	0.129634558
344	0.1295978483
345	0.1295703448
346	0.1295340254
347	0.129376971
348	0.1293041711
349	0.1292642738
350	0.1292295416
351	0.1291828002
352	0.1291199014
353	0.1290435759
354	0.1290285693
355	0.128995893
356	0.1289041904
357	0.1288455769
358	0.1287520857
359	0.1286746357
360	0.1286596345
361	0.1285944616
362	0.1285153416
363	0.1284218948
364	0.1282613285
365	0.1282141657
366	0.1280788913
367	0.1280261419
368	0.1279616694
369	0.1279186181
370	0.1278198393
371	0.1277629296
372	0.1277000715
373	0.1276557672
374	0.1275622161
375	0.1275329543
376	0.1274739634
377	0.1273846049
378	0.1273068652
379	0.1272362246
380	0.1271793759
381	0.1271285409
382	0.1270752576
383	0.127004861
384	0.1269709385
385	0.126875948
386	0.1268382964
387	0.1267026781
388	0.1266444502
389	0.1265788471
390	0.1265333807
391	0.1264886084
392	0.1264081706
393	0.1263638932
394	0.1263209764
395	0.1262721
396	0.1262266489
397	0.1261886022
398	0.1261009077
399	0.1260588877
400	0.1259782358
401	0.1259344948
402	0.1257929528
403	0.1256885572
404	0.1255633871
405	0.1255108973
406	0.1254599467
407	0.1254027414
408	0.1253716792
409	0.1253617013
410	0.1252739828
411	0.1252336475
412	0.1251843534
413	0.1250941243
414	0.1250448669
415	0.1249699525
416	0.1249005346
417	0.1248074418
418	0.124774618
419	0.1247258815
420	0.1246817936
421	0.1246531063
422	0.1246234847
423	0.1245470097
424	0.1245276906
425	0.1244557145
426	0.124438621
427	0.124398997
428	0.124310706
429	0.1241997241
430	0.1241492786
431	0.1240739891
432	0.1239933973
433	0.1239566939
434	0.1239174804
435	0.1238849073
436	0.1238533616
437	0.1238016009
438	0.1237174999
439	0.1236530607
440	0.1236315445
441	0.1235433474
442	0.1234885809
443	0.1234536258
444	0.1233806127
445	0.1233188263
446	0.1232614329
447	0.1232077076
448	0.1231878752
449	0.1231181401
450	0.1230594481
451	0.1230016695
452	0.1229853015
453	0.1229215651
454	0.1228761613
455	0.1227805413
456	0.1227272493
457	0.122651492
458	0.1226317611
459	0.1225596608
460	0.1224870767
461	0.1224478376
462	0.1223664363
463	0.122291087
464	0.122240631
465	0.1221531103
466	0.1221267585
467	0.1220859692
468	0.1219945211
469	0.1219328681
470	0.1218963005
471	0.1218797148
472	0.1218580638
473	0.1218146843
474	0.1217955667
475	0.1217381269
476	0.1216823108
477	0.1216442356
