iter	Passed	Remaining
0	621	330676
1	902	239520
2	1159	204800
3	1382	182842
4	1672	176565
5	1864	163783
6	2058	154690
7	2286	150071
8	2481	144463
9	2683	140340
10	2874	136427
11	3057	132763
12	3250	130033
13	3448	127843
14	3676	126946
15	4060	131200
16	4242	128782
17	4543	130006
18	4746	128407
19	5007	128441
20	5332	129999
21	5637	130947
22	5866	130088
23	6089	129147
24	6314	128313
25	6548	127687
26	6747	126448
27	7002	126299
28	7294	126781
29	7730	129622
30	8258	133732
31	8529	133536
32	9060	137285
33	9458	138818
34	10141	144301
35	10786	148913
36	11228	150527
37	11604	151164
38	11898	150710
39	12330	151968
40	12694	152335
41	12988	151837
42	13279	151325
43	13674	151973
44	13905	150793
45	14160	149920
46	14427	149189
47	14715	148691
48	14959	147764
49	15408	148845
50	15757	148922
51	16117	149087
52	16406	148590
53	16646	147663
54	16983	147599
55	17905	152519
56	18343	153183
57	18575	152128
58	18845	151406
59	19097	150555
60	19390	150038
61	19606	148947
62	19835	147976
63	20074	147111
64	20322	146324
65	20550	145413
66	20754	144354
67	20984	143498
68	21218	142687
69	21649	143198
70	22036	143393
71	22316	142884
72	22616	142513
73	22865	141828
74	23197	141659
75	23442	140962
76	23708	140402
77	24047	140277
78	24279	139528
79	24536	138938
80	24901	138955
81	25277	139026
82	25567	138617
83	25823	138033
84	26185	138013
85	26415	137299
86	26639	136564
87	26892	135991
88	27160	135496
89	27372	134734
90	27568	133905
91	27856	133530
92	28056	132742
93	28256	131965
94	28447	131158
95	28645	130394
96	28832	129597
97	28998	128716
98	29186	127948
99	29399	127299
100	29623	126705
101	29817	125994
102	30007	125275
103	30182	124500
104	30376	123819
105	30572	123156
106	30849	122823
107	31223	122870
108	31571	122809
109	31847	122469
110	32034	121790
111	32241	121193
112	32432	120544
113	32827	120656
114	33105	120330
115	33460	120283
116	33757	120027
117	34036	119705
118	34455	119869
119	34876	120032
120	35118	119575
121	35326	119009
122	35556	118522
123	35770	117983
124	35996	117493
125	36198	116928
126	36488	116648
127	36698	116116
128	36955	115736
129	37204	115332
130	37433	114873
131	37637	114338
132	37898	113980
133	38101	113450
134	38372	113126
135	38555	112548
136	38750	112008
137	38964	111528
138	39177	111050
139	39455	110756
140	39645	110219
141	39833	109683
142	40022	109152
143	40253	108739
144	40510	108399
145	40884	108372
146	41115	107962
147	41461	107856
148	41716	107509
149	42030	107316
150	42297	107003
151	42685	106994
152	42875	106488
153	43069	105994
154	43265	105510
155	43511	105151
156	43701	104660
157	43922	104245
158	44127	103797
159	44384	103472
160	44632	103125
161	44874	102768
162	45110	102398
163	45493	102360
164	45733	101998
165	45990	101677
166	46179	101207
167	46564	101165
168	46757	100709
169	46949	100251
170	47238	100001
171	47466	99624
172	47707	99276
173	47898	98824
174	48128	98458
175	48320	98012
176	48562	97673
177	48762	97250
178	48959	96824
179	49182	96451
180	49431	96131
181	49679	95810
182	49950	95534
183	50299	95404
184	50546	95081
185	50797	94767
186	51026	94411
187	51315	94169
188	51512	93757
189	51712	93355
190	51936	92995
191	52136	92596
192	52387	92288
193	52734	92149
194	53051	91955
195	53344	91720
196	53581	91387
197	53813	91048
198	54054	90725
199	54302	90413
200	54523	90058
201	54737	89693
202	54960	89345
203	55209	89038
204	55498	88797
205	55950	88815
206	56276	88629
207	56705	88602
208	57329	88874
209	57611	88611
210	57839	88267
211	58042	87884
212	58323	87622
213	58572	87311
214	58801	86971
215	59001	86590
216	59251	86283
217	59506	85984
218	59785	85720
219	60027	85402
220	60345	85194
221	60656	84973
222	60857	84599
223	61094	84277
224	61301	83915
225	61550	83610
226	61796	83302
227	62076	83040
228	62349	82769
229	62585	82449
230	62887	82216
231	63111	81881
232	63331	81543
233	63555	81209
234	63756	80848
235	63945	80473
236	64170	80145
237	64477	79919
238	64675	79558
239	64902	79234
240	65142	78927
241	65392	78632
242	65667	78368
243	65953	78116
244	66190	77808
245	66407	77475
246	66604	77120
247	66854	76828
248	67046	76470
249	67263	76142
