iter	Accuracy	Logloss
0	0.9011510178	0.5837679627
1	0.9026697218	0.5023497815
2	0.9015506768	0.4434201029
3	0.9051476074	0.3954518893
4	0.9063998721	0.3608658317
5	0.9058403496	0.3370777968
6	0.9054673345	0.3170915087
7	0.9162581264	0.2934082287
8	0.922146435	0.2756928918
9	0.9247575402	0.2632253569
10	0.9251838431	0.2529305957
11	0.9257700096	0.2455989357
12	0.9264094639	0.2394229595
13	0.9269956304	0.233397583
14	0.9287807737	0.226720705
15	0.9297133113	0.2216858638
16	0.9306458489	0.217677867
17	0.93099222	0.2145638756
18	0.9329638708	0.2100867098
19	0.9340296281	0.2065801946
20	0.9350953853	0.2038373409
21	0.9366940211	0.2015595136
22	0.9377331344	0.1998712023
23	0.9401044442	0.1970426341
24	0.9421293829	0.1936405898
25	0.9446072685	0.1904528347
26	0.944767132	0.1885842334
27	0.9452733667	0.1869308992
28	0.94631248	0.1853747921
29	0.9463657679	0.1844408378
30	0.9469519343	0.1827837778
31	0.9468986465	0.1819610724
32	0.9470052222	0.1809197796
33	0.9472450176	0.1798108692
34	0.947458169	0.179307858
35	0.9477512523	0.1785483957
36	0.9477512523	0.177644993
37	0.9480709794	0.1768489649
38	0.948230843	0.1759379368
39	0.9482041991	0.1755388161
40	0.9484706384	0.1749440109
41	0.9485505702	0.1745189513
42	0.9490301609	0.1737386754
43	0.9491633806	0.173454418
44	0.9492166684	0.1732208974
45	0.9499626985	0.1726660982
46	0.9499094106	0.1724018928
47	0.9500692742	0.1721092434
48	0.9500959181	0.171604839
49	0.950149206	0.1714112889
50	0.9502291378	0.1709631317
51	0.9503090696	0.1706092382
52	0.9504955771	0.1702024694
53	0.9502557817	0.1698647293
54	0.95092188	0.1694028916
55	0.9509485239	0.169202141
56	0.9508952361	0.1689304697
57	0.9509751679	0.1686523432
58	0.9508952361	0.168412751
59	0.95092188	0.1681679284
60	0.9510817436	0.1680168503
61	0.9512682511	0.167672593
62	0.9518011297	0.167197678
63	0.9518544176	0.1670674389
64	0.9518011297	0.1669212995
65	0.9517478418	0.1661570715
66	0.9518277736	0.1660462262
67	0.9518810615	0.1656664863
68	0.952067569	0.1655204924
69	0.952067569	0.1655102097
70	0.9520409251	0.1652724611
71	0.9520142811	0.1650638954
72	0.9520142811	0.1650554384
73	0.9520142811	0.16502014
74	0.9520409251	0.1647987143
75	0.9520409251	0.164648549
76	0.952067569	0.1644092213
77	0.952067569	0.1642891632
78	0.9521208569	0.1641368685
79	0.9521208569	0.1639194414
80	0.9521208569	0.1636883066
81	0.9521208569	0.1635928321
82	0.9523073644	0.1633811007
83	0.9522540765	0.1631818141
84	0.952440584	0.1628144696
85	0.9525205158	0.1626500937
86	0.9525205158	0.1624939034
87	0.9525471598	0.1621699494
88	0.9525738037	0.1620904426
89	0.952440584	0.1618032693
90	0.952440584	0.1617640644
91	0.9524938719	0.1615894936
92	0.952467228	0.1614153167
93	0.9525205158	0.1611687271
94	0.9525471598	0.1609946858
95	0.9525471598	0.1609148501
96	0.9525471598	0.1608558346
97	0.9526537355	0.160628969
98	0.9526803794	0.1604962009
99	0.9527070233	0.1604203688
