iter	Passed	Remaining
0	80	7953
1	157	7723
2	237	7690
3	305	7329
4	365	6939
5	434	6805
6	498	6617
7	566	6517
8	618	6256
9	678	6106
10	738	5978
11	796	5843
12	857	5740
13	922	5664
14	1003	5684
15	1063	5583
16	1120	5470
17	1182	5387
18	1242	5298
19	1348	5393
20	1469	5526
21	1533	5436
22	1593	5334
23	1661	5260
24	1722	5167
25	1782	5073
26	1847	4995
27	1914	4924
28	1981	4851
29	2040	4761
30	2099	4672
31	2157	4584
32	2214	4495
33	2277	4421
34	2336	4338
35	2394	4257
36	2452	4176
37	2511	4098
38	2571	4022
39	2630	3945
40	2692	3875
41	2750	3798
42	2810	3725
43	2870	3652
44	2933	3585
45	2996	3517
46	3062	3453
47	3122	3383
48	3183	3313
49	3249	3249
50	3309	3179
51	3367	3108
52	3425	3037
53	3492	2975
54	3551	2906
55	3609	2836
56	3670	2768
57	3728	2699
58	3787	2631
59	3845	2563
60	3914	2502
61	3976	2437
62	4039	2372
63	4097	2304
64	4157	2238
65	4215	2171
66	4275	2105
67	4342	2043
68	4400	1977
69	4462	1912
70	4520	1846
71	4579	1780
72	4639	1715
73	4697	1650
74	4761	1587
75	4820	1522
76	4881	1458
77	4943	1394
78	5009	1331
79	5066	1266
80	5131	1203
81	5188	1138
82	5246	1074
83	5303	1010
84	5360	945
85	5395	878
86	5434	812
87	5492	748
88	5556	686
89	5615	623
90	5676	561
91	5735	498
92	5796	436
93	5854	373
94	5916	311
95	5985	249
96	6051	187
97	6109	124
98	6170	62
99	6228	0
